Timestamp,model,avs_slug,meds_sentence,meds_completion
2024-01-23-T-05-31-57,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-05-13-22,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-16-41-29,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-05-04-03,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-17-12-39,gpt-4-1106-preview,endo,- Keep taking Aspirin and pain relievers like Advil or Aleve.,Complete
2024-01-23-T-17-25-29,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-06-23-09,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-06-27-45,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-05-36-36,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-16-36-47,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn.",Complete
2024-01-23-T-17-01-58,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn.",Complete
2024-01-23-T-06-18-34,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-05-22-40,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-04-59-29,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-06-04-32,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-06-13-55,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-16-30-13,gpt-4-1106-preview,endo,- Keep taking Aspirin and pain relievers like Advil or Aleve.,Complete
2024-01-23-T-05-59-54,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-05-18-01,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-07-19-17,gpt-4-1106-preview,endo,"- Keep taking Aspirin and pain relievers like Advil, Aleve, or Ibuprofen.",Complete
2024-01-23-T-05-41-10,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-04-54-57,gpt-3.5-turbo,endo,"For Endoscopy procedures, if you are taking Aspirin and/or NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn, please continue taking them.",Complete
2024-01-23-T-17-08-49,gpt-4-1106-preview,endo,- Keep taking Aspirin and pain relievers like Advil or Aleve.,Complete
2024-01-23-T-05-21-51,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-06-35-15,gpt-3.5-turbo,not endo,"1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-05-19-33,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Complete
Unmodified 1,unmodified,not endo,"More than one sentence found: 1 week before your procedure do not take NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil,  Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-06-22-22,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-04-56-29,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Complete
2024-01-23-T-16-44-29,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, or Ibuprofen 1 week before surgery.",Complete
2024-01-23-T-17-10-07,gpt-4-1106-preview,not endo,"More than one sentence found: - Stop taking pain relievers like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before your surgery.  - If you're having eye surgery and take Aspirin or blood thinners, call your eye surgeon for instructions.",Complete
2024-01-23-T-16-31-40,gpt-4-1106-preview,not endo,"More than one sentence found: - Stop taking pain relievers like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before.  - If you're having eye surgery and take Aspirin or blood thinners, call your eye doctor for more instructions.",Complete
2024-01-23-T-06-44-10,gpt-3.5-turbo,not endo,"1 week before your procedure do not take NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-04-58-41,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-06-20-06,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Complete
2024-01-23-T-16-40-42,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before.",Complete
2024-01-23-T-17-15-55,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before your surgery.",Complete
2024-01-23-T-05-03-13,gpt-3.5-turbo,not endo,"1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-17-19-17,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before.",Absent
2024-01-23-T-17-13-53,gpt-4-1106-preview,not endo,"More than one sentence found: - Stop taking pain meds like Advil, Aleve, or Ibuprofen 1 week before.  - If you have eye surgery and take Aspirin or blood thinners, call your eye doctor.",Absent
2024-01-23-T-16-54-50,gpt-4-1106-preview,not endo,"More than one sentence found: - Stop taking pain medicines like Advil, Aleve, or Ibuprofen 1 week before.  - If you're having eye surgery and take Aspirin or blood thinners, call your eye doctor.",Absent
2024-01-23-T-06-39-46,gpt-3.5-turbo,not endo,"1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-05-26-33,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-05-37-21,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-05-38-06,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Absent
2024-01-23-T-06-13-09,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-17-33-32,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before your surgery.",Complete
2024-01-23-T-05-28-08,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-16-37-43,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before.",Absent
2024-01-23-T-16-53-19,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before.",Absent
2024-01-23-T-05-49-45,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-16-36-03,gpt-4-1106-preview,not endo,"- Stop taking pain relievers like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before.",Absent
2024-01-23-T-05-04-48,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-04-53-20,gpt-3.5-turbo,not endo,"1 week before your procedure do not take NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-06-17-44,gpt-3.5-turbo,not endo,"1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-17-08-04,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, or Ibuprofen 1 week before.",Absent
2024-01-23-T-16-49-16,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before your surgery.",Absent
2024-01-23-T-16-51-25,gpt-4-1106-preview,not endo,"More than one sentence found: - Stop taking pain relievers like Advil, Aleve, or Ibuprofen 1 week before.  - If you're having eye surgery and take Aspirin or blood thinners, call your eye doctor.",Absent
2024-01-23-T-06-23-53,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-04-55-43,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-16-33-40,gpt-4-1106-preview,not endo,"- Stop taking pain relievers like Advil, Aleve, and Ibuprofen 1 week before.",Absent
2024-01-23-T-06-08-29,gpt-3.5-turbo,not endo,"1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-16-59-49,gpt-4-1106-preview,not endo,"- Don't take pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn for 1 week before.",Complete
2024-01-23-T-07-16-37,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before.",Absent
2024-01-23-T-05-18-46,gpt-3.5-turbo,not endo,"1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-05-14-52,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Absent
2024-01-23-T-06-24-41,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Complete
2024-01-23-T-06-26-59,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-06-42-46,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Complete
2024-01-23-T-05-51-26,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-07-07-08,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before.",Complete
2024-01-23-T-05-35-45,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-06-45-00,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-06-21-33,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-16-50-47,gpt-4-1106-preview,not endo,"- Stop taking pain relievers like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before.",Complete
2024-01-23-T-17-30-33,gpt-4-1106-preview,not endo,"More than one sentence found: - Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before.  - If you're having eye surgery and take Aspirin or blood thinners, call your eye doctor for instructions.",Complete
2024-01-23-T-06-42-02,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Complete
2024-01-23-T-17-35-00,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, or Ibuprofen 1 week before.",Absent
2024-01-23-T-06-29-16,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Absent
2024-01-23-T-06-58-07,gpt-4-1106-preview,not endo,"- Stop NSAIDs like Advil, Aleve, or Ibuprofen 1 week before.",Absent
2024-01-23-T-16-49-39,gpt-4-1106-preview,not endo,"- Stop taking pain meds like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before.",Absent
2024-01-23-T-07-15-11,gpt-4-1106-preview,not endo,"More than one sentence found: - Stop taking pain relievers like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before.  - If you're having eye surgery and take Aspirin or blood thinners, call your eye doctor.",Absent
2024-01-23-T-17-13-31,gpt-4-1106-preview,not endo,"- Stop taking pain relievers like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before surgery.",Absent
2024-01-23-T-05-44-07,gpt-3.5-turbo,not endo,"1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-05-47-24,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Absent
2024-01-23-T-17-03-37,gpt-4-1106-preview,not endo,"- Stop taking pain relievers like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before.",Absent
Unmodified 3,unmodified,not endo,"1 week before your procedure do not take NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-05-41-54,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-17-23-07,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, and Naprosyn 1 week before.",Absent
2024-01-23-T-17-35-21,gpt-4-1106-preview,not endo,"- Stop taking pain medicine like Advil, Aleve, or Ibuprofen 1 week before.",Absent
2024-01-23-T-06-33-51,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Absent
2024-01-23-T-05-28-55,gpt-3.5-turbo,not endo,"More than one sentence found: - 1 week before your procedure, do not take NSAIDS (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.  - For Oculoplastic (surgery around the eye), if you are taking Aspirin or blood thinners, please contact your eye surgeon for further instructions.",Absent
2024-01-23-T-06-26-11,gpt-3.5-turbo,not endo,"- 1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-16-56-50,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before your surgery.",Absent
2024-01-23-T-17-04-09,gpt-4-1106-preview,not endo,"- Don't take pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn for 1 week before your surgery.",Absent
2024-01-23-T-17-28-07,gpt-4-1106-preview,not endo,"- Stop taking pain medicines like Advil, Aleve, Ibuprofen, Motrin, or Naprosyn 1 week before.",Absent
2024-01-23-T-04-57-53,gpt-3.5-turbo,not endo,"1 week before your procedure, do not take NSAIDs (Nonsteroidal Anti-inflammatory Drugs) such as Advil, Aleve, Ibuprofen, Motrin, and/or Naprosyn.",Absent
2024-01-23-T-16-47-28,gpt-4-1106-preview,not endo,"More than one sentence found: - Stop taking pain meds like Advil, Aleve, or Ibuprofen 1 week before.  - If you have eye surgery and take Aspirin or blood thinners, talk to your eye doctor.",Complete
2024-01-23-T-16-34-30,gpt-4-1106-preview,not endo,"- Don't take pain relievers like Advil, Aleve, or Ibuprofen for 1 week before.",Complete
2024-01-23-T-07-01-58,gpt-4-1106-preview,not endo,"More than one sentence found: - Stop taking pain medicines like Advil, Aleve, or Ibuprofen 1 week before.  - If you're having eye surgery and take Aspirin or blood thinners, call your eye doctor.",Complete
2024-01-23-T-16-52-23,gpt-4-1106-preview,not endo,"- Stop taking pain relievers like Advil, Aleve, or Ibuprofen 1 week before.",Complete
